"No.","Time","Source","Destination","Protocol","Length","Info"
"1016","2.594175","10.39.160.60","223.5.5.5","DNS","87","Standard query 0x508e HTTPS www.yxnu.edu.cn"
"1033","2.867279","223.5.5.5","10.39.160.60","DNS","151","Standard query response 0x508e HTTPS www.yxnu.edu.cn SOA ns1.service.edu.cn"
